# Class red_S0 blue_S0 green_S0 nir_wide_S0 nir_S0 swir_1_S0 swir_2_S0 red_edge_1_S0 red_edge_2_S0 red_edge_3_S0 EVI_S0 edev_S0 sdev_S0 bcdev_S0 NDVI_S0 LAI_S0 MNDWI_S0 evi_10_S0 evi_50_S0 evi_90_S0 evi_range_S0 evi_std_S0 rainclim_min_S0 rainclim_mean_S0 rainclim_max_S0 rainclim_range_S0 rainclim_std_S0 f_mean_n1_S0 f_mean_n2_S0 f_mean_n3_S0 f_std_n1_S0 f_std_n2_S0 f_std_n3_S0 f_median_n1_S0 f_median_n2_S0 f_median_n3_S0 abs_change_S0 mean_change_S0 median_change_S0 discordance_S0 complexity_S0 central_diff_S0 slope mrvbf mrrtf
1.000000 0.148780 0.087285 0.120926 0.298175 0.323955 0.388604 0.315138 0.201201 0.262021 0.290607 0.280379 1.929842 4.694223 2.710518 0.370596 0.896411 -0.525334 0.188949 0.282622 0.381386 0.192437 0.082068 0.221968 76.604881 154.613083 154.391113 56.503490 1.504760 0.387389 0.283647 0.999219 0.169653 0.098402 1.376781 0.417073 0.279774 0.018401 0.001585 0.000000 -0.014821 12.990358 -0.001276 3.004626 2.000000 0.000000
1.000000 0.132773 0.071425 0.102091 0.259067 0.280686 0.338475 0.271312 0.170621 0.229326 0.254336 0.238232 2.032047 4.678726 2.605827 0.358889 0.743924 -0.543821 0.156765 0.234278 0.443883 0.286082 0.125582 0.306110 76.369209 167.519363 167.213257 57.226875 2.151849 0.588880 0.694008 1.537276 0.172109 0.294808 1.572299 0.531266 0.683955 0.038819 -0.000842 0.000000 -0.002080 20.172466 -0.000558 8.436857 0.000000 0.000000
1.000000 0.119363 0.079352 0.104720 0.257677 0.293292 0.388556 0.288099 0.165360 0.226609 0.255414 0.308463 2.144857 5.012284 2.809738 0.418439 0.998020 -0.575428 0.222129 0.291357 0.405264 0.181313 0.080456 1.551857 84.794243 161.774673 160.222824 55.415371 1.101770 0.754447 0.472867 0.629964 0.187719 0.177047 0.855944 0.774852 0.456559 0.030257 0.001230 0.000000 -0.000855 45.723427 -0.001748 1.127961 5.000000 0.000000
1.000000 0.073495 0.053844 0.064271 0.125333 0.139476 0.236063 0.176021 0.089684 0.110208 0.122914 0.142358 2.400357 4.274590 2.331425 0.313908 0.397051 -0.572588 0.085208 0.132940 0.339201 0.254773 0.107005 0.222989 74.434822 154.425140 154.202148 57.280315 1.887231 0.606959 0.494193 1.310740 0.314631 0.151972 1.440450 0.564429 0.515214 0.023416 -0.003482 0.000000 -0.018732 15.182421 -0.000297 3.173239 6.000000 2.000000
1.000000 0.156922 0.066128 0.102361 0.274788 0.294281 0.366322 0.320737 0.202701 0.252061 0.273621 0.199656 2.665368 6.588731 3.201598 0.306937 0.604354 -0.561752 0.157956 0.200471 0.270027 0.112071 0.069644 0.306110 76.369209 167.519363 167.213257 57.226875 1.341005 0.582010 0.459782 0.717683 0.173728 0.099789 0.897959 0.537372 0.444902 0.026286 0.004623 0.000000 0.001617 37.946171 -0.000263 2.946278 1.000000 1.000000
1.000000 0.101685 0.069365 0.086139 0.171010 0.196006 0.279808 0.203705 0.128702 0.152913 0.170736 0.183377 2.314459 4.555721 2.574529 0.320618 0.545459 -0.532464 0.112307 0.169051 0.323456 0.205112 0.086059 0.222989 74.434822 154.425140 154.202148 57.280315 1.505463 0.399028 0.333066 1.186417 0.159710 0.116537 1.036916 0.373593 0.307552 0.016647 -0.002103 0.000000 -0.004352 11.433306 -0.000223 3.004626 6.000000 2.000000
1.000000 0.132810 0.073347 0.099698 0.229397 0.256829 0.368470 0.292846 0.168684 0.201100 0.225049 0.195928 1.778131 4.187985 2.390880 0.306625 0.590868 -0.574624 0.143232 0.177738 0.439237 0.301291 0.120544 0.222989 74.434822 154.425140 154.202148 57.280315 1.838989 0.739678 0.318466 1.615654 0.440692 0.101360 0.931580 0.636775 0.268455 0.022811 0.002346 0.000000 -0.010183 12.503208 -0.000261 2.946278 6.000000 3.000000
1.000000 0.132631 0.062278 0.093269 0.274973 0.295546 0.336224 0.273679 0.180469 0.253832 0.276126 0.236074 2.401583 5.578783 2.992637 0.364861 0.736114 -0.564939 0.162465 0.229713 0.342481 0.181347 0.074264 0.776927 75.379242 149.700958 148.924026 51.552284 1.697529 0.557284 0.365230 1.455635 0.331298 0.095421 0.691471 0.526510 0.327182 0.018182 0.001014 0.000000 -0.013445 17.966074 -0.000164 7.288690 1.000000 0.000000
1.000000 0.124582 0.076495 0.098716 0.203009 0.231822 0.332312 0.279115 0.153449 0.183992 0.204409 0.190738 2.359075 5.393213 2.735752 0.300895 0.572089 -0.541952 0.147162 0.180472 0.299620 0.152457 0.064459 0.258489 71.009476 151.117249 150.858765 53.676849 1.797938 0.622418 0.726307 1.122125 0.375915 0.176610 2.366691 0.532778 0.727633 0.022056 0.000044 0.000000 -0.013664 75.324562 0.000521 1.178511 7.000000 3.000000
1.000000 0.080159 0.058047 0.069020 0.134233 0.155093 0.227819 0.172932 0.101194 0.121455 0.135349 0.156350 2.395959 4.618627 2.440047 0.320024 0.447676 -0.535811 0.107601 0.148705 0.297186 0.193425 0.078671 0.275710 71.519051 152.460526 152.184814 54.289623 2.872061 0.837624 0.338370 1.844791 0.348614 0.225017 1.991018 0.837625 0.304317 0.018459 0.000324 0.000000 -0.000341 22.976454 -0.000027 0.883883 7.000000 1.000000
1.000000 0.083546 0.054141 0.076835 0.202469 0.223476 0.268192 0.196407 0.120012 0.180172 0.201430 0.265287 1.788742 3.794450 2.157936 0.455768 0.841807 -0.554617 0.131855 0.261154 0.442590 0.310735 0.121861 0.258489 71.009476 151.117249 150.858765 53.676849 3.575183 2.228029 1.084985 1.933409 0.345744 0.511272 3.437889 2.193918 1.171751 0.036361 0.000179 0.000000 -0.012737 48.799126 -0.000075 4.611655 7.000000 0.000000
1.000000 0.145342 0.060926 0.095321 0.254434 0.275363 0.342994 0.285651 0.190523 0.236397 0.255353 0.191403 2.792651 6.484818 3.441720 0.308014 0.574495 -0.565056 0.153721 0.189801 0.281801 0.127699 0.070130 0.306110 76.369209 167.519363 167.213257 57.226875 1.125291 0.607738 0.397024 0.559988 0.332789 0.151630 0.854833 0.557036 0.369435 0.027769 0.002669 0.000000 -0.005208 47.113586 -0.000183 19.110134 0.000000 0.000000
1.000000 0.176722 0.084431 0.126568 0.298802 0.323234 0.384750 0.303222 0.221397 0.269380 0.294237 0.210414 1.644822 4.711114 2.283265 0.294229 0.643279 -0.502395 0.130481 0.193761 0.424102 0.295523 0.127367 0.261448 74.517723 164.399414 164.137970 58.297024 4.434949 0.845152 0.966230 2.294651 0.308048 0.498619 4.505672 0.880214 0.900053 0.025434 0.001364 0.000000 0.007927 21.788082 -0.000041 3.773077 2.000000 0.000000
1.000000 0.163048 0.101004 0.130306 0.260922 0.282948 0.405016 0.336684 0.196476 0.230034 0.250903 0.199340 1.979619 4.813275 2.671806 0.268836 0.603213 -0.513167 0.133835 0.185864 0.432775 0.298940 0.129222 0.101702 64.635323 151.182434 151.080734 54.395061 2.350479 0.649867 0.308987 1.594102 0.162058 0.222437 2.296906 0.678731 0.226252 0.027398 -0.003759 0.000000 -0.007837 13.831415 -0.000405 1.317616 7.000000 4.000000
1.000000 0.073679 0.053339 0.064202 0.127523 0.143716 0.224527 0.172001 0.091206 0.113967 0.126709 0.147515 2.336585 4.090064 2.359207 0.321787 0.415708 -0.555507 0.082787 0.133649 0.269322 0.186951 0.075762 0.153488 68.470467 147.132996 146.979507 55.912262 2.886531 0.492278 0.425113 1.532987 0.432726 0.233866 2.939074 0.349973 0.436205 0.018472 0.000571 0.000000 -0.004576 24.587904 -0.000023 0.833333 7.000000 1.000000
1.000000 0.141829 0.075740 0.111044 0.281073 0.307929 0.354555 0.280380 0.188032 0.256557 0.282879 0.261024 1.600485 3.733408 2.268790 0.369310 0.826386 -0.522684 0.118391 0.250956 0.412956 0.293242 0.126256 0.153488 68.470467 147.132996 146.979507 55.912262 4.312131 0.709452 0.433014 3.334023 0.246888 0.202819 3.378045 0.935231 0.487636 0.023141 -0.000826 0.000000 -0.006876 16.431931 -0.000127 2.946278 7.000000 3.000000
1.000000 0.133968 0.076499 0.105942 0.253438 0.279058 0.344916 0.260647 0.173550 0.222511 0.247348 0.240355 1.706331 3.891020 2.324823 0.351301 0.751603 -0.529136 0.140309 0.227941 0.559493 0.409353 0.162128 0.153488 68.470467 147.132996 146.979507 55.912262 5.697150 1.195899 1.210265 4.687731 0.352547 0.568998 4.935601 1.252760 1.291310 0.027884 0.000695 0.000000 -0.013446 18.557098 0.000060 4.059757 7.000000 2.500000
1.000000 0.131559 0.078281 0.109410 0.271561 0.299997 0.383155 0.296082 0.182828 0.239631 0.266181 0.280311 1.977293 4.668307 2.700823 0.390305 0.896165 -0.555754 0.197221 0.257638 0.400112 0.202891 0.088879 0.927709 71.710869 146.210556 145.282852 53.509403 2.430324 0.586374 0.511846 0.705673 0.248060 0.187057 2.564699 0.612214 0.407326 0.032040 0.001288 0.000000 0.012820 19.449768 -0.001066 0.833333 5.000000 3.000000
1.000000 0.101804 0.064999 0.086673 0.214492 0.240217 0.305284 0.203524 0.137301 0.182783 0.206194 0.254128 1.851048 4.957325 2.234239 0.405068 0.801436 -0.558513 0.189165 0.240522 0.367682 0.178831 0.073871 0.927709 71.710869 146.210556 145.282852 53.509403 1.235593 0.522850 0.252594 0.638753 0.220247 0.125416 1.395922 0.546309 0.218040 0.024586 -0.000953 0.000000 -0.011591 30.327835 0.000602 2.110206 5.000000 2.000000
1.000000 0.177949 0.080980 0.121527 0.290506 0.313306 0.380820 0.305695 0.226059 0.274572 0.292924 0.193571 2.027438 4.866354 2.742881 0.278675 0.582341 -0.514878 0.107717 0.195474 0.349201 0.242887 0.101189 0.177680 69.819084 147.862869 147.685196 56.229164 3.106183 0.949283 0.481292 3.102291 0.409595 0.227047 1.966440 1.298483 0.400471 0.025702 -0.000565 0.000000 -0.004391 35.768082 -0.000863 2.357023 2.000000 1.000000
1.000000 0.129334 0.066043 0.098712 0.251116 0.279295 0.339083 0.264219 0.173817 0.226586 0.252376 0.240587 1.655202 3.904789 2.223967 0.367678 0.752444 -0.549033 0.140699 0.209992 0.434947 0.294248 0.120415 0.199029 73.135872 159.399551 159.200516 57.623402 3.820169 1.450990 0.714786 3.164299 0.472368 0.334964 2.680904 1.435259 0.766077 0.020858 0.000539 0.000000 -0.000135 19.097504 0.000344 2.393293 3.000000 0.500000
1.000000 0.132593 0.062802 0.096030 0.231993 0.250792 0.347274 0.296808 0.165237 0.210035 0.231641 0.183737 2.025241 4.489454 2.578171 0.304854 0.546761 -0.570300 0.106531 0.167983 0.434734 0.328204 0.131585 0.199029 73.135872 159.399551 159.200516 57.623402 4.214391 1.598716 0.540111 2.895778 0.630862 0.375200 3.089018 1.645508 0.379318 0.025218 0.003963 0.000000 -0.013833 24.412487 0.001159 3.726780 2.000000 0.000000
1.000000 0.079694 0.055043 0.074467 0.200576 0.222165 0.252825 0.194085 0.113525 0.178724 0.199777 0.275859 1.888567 4.091647 2.277699 0.469109 0.880056 -0.546183 0.125082 0.280872 0.404953 0.279739 0.111453 1.083725 76.649651 162.591309 161.507584 50.132370 1.840734 0.479860 0.431933 1.448166 0.204829 0.204917 1.296468 0.438867 0.381401 0.025973 -0.000630 0.000000 -0.000413 11.739379 0.000595 1.317616 5.000000 1.000000
1.000000 0.166488 0.078971 0.118121 0.275407 0.301737 0.357187 0.280162 0.213463 0.258963 0.280584 0.200148 1.851249 4.568895 2.482655 0.289057 0.606135 -0.502972 0.115432 0.175475 0.454689 0.324038 0.127824 0.177680 69.819084 147.862869 147.685196 56.229164 3.997889 1.436743 1.198199 3.799930 0.308687 0.314909 2.205754 1.477172 1.342195 0.031147 0.001930 0.000000 0.004608 40.753830 -0.000074 0.953436 2.000000 1.000000
